tok_s,wall_ms,dispatches,npu_ms,stage_in_ms,stage_out_ms,stage_out_gb,epi_thread_ms,sync_in_ms,sync_out_ms,arena_mib,rep,cell,prompt,ub,threads,tiles,variant,direct,async_on
1080.15,1896.0329583854093,642.0,728.8000000000001,54.53333333333333,0.0,0.0,1306.4333333333334,19.666666666666668,63.666666666666664,60.0,2,pp2048 allNPU t15,2048,2048,15,2,D async+direct,1,1
967.99,4099.215900990713,642.0,807.7333333333332,64.89999999999999,333.40000000000003,4.543333333333334,1222.8999999999999,22.0,81.0,0.0,2,pp3968 ub2048 t15,3968,2048,15,auto,A sync+g_acc,0,0
999.07,3971.6936751178596,642.0,820.1333333333333,64.10000000000001,350.8,4.543333333333334,1279.9333333333334,22.333333333333332,73.66666666666667,0.0,2,pp3968 ub2048 t15,3968,2048,15,auto,B async+g_acc,0,1
1005.43,3946.570124225456,642.0,808.6333333333333,65.60000000000001,0.0,0.0,1428.4333333333334,21.666666666666668,73.33333333333333,30.0,2,pp3968 ub2048 t15,3968,2048,15,auto,C sync+direct,1,0
1002.48,3958.1837044130552,642.0,814.2666666666668,65.63333333333334,0.0,0.0,1425.2666666666667,21.666666666666668,73.66666666666667,30.0,2,pp3968 ub2048 t15,3968,2048,15,auto,D async+direct,1,1
919.09,2228.2910269940917,642.0,747.7333333333332,58.1,330.09999999999997,4.543333333333334,1127.2,20.0,74.33333333333333,0.0,2,pp2048 ub1024 t15,2048,1024,15,auto,A sync+g_acc,0,0
1008.38,2030.9803843789048,642.0,748.9666666666667,56.46666666666667,336.43333333333334,4.543333333333334,1148.7333333333333,20.666666666666668,66.33333333333333,0.0,2,pp2048 ub1024 t15,2048,1024,15,auto,B async+g_acc,0,1
1088.36,1881.7303098239554,642.0,743.1,58.06666666666666,0.0,0.0,1323.5333333333333,20.333333333333332,69.66666666666667,30.0,2,pp2048 ub1024 t15,2048,1024,15,auto,C sync+direct,1,0
1082.85,1891.3053516184145,642.0,742.3333333333334,57.13333333333333,0.0,0.0,1312.3333333333333,20.666666666666668,68.0,30.0,2,pp2048 ub1024 t15,2048,1024,15,auto,D async+direct,1,1
1227.7,1668.1599739350004,321.0,404.43333333333334,31.3,161.56666666666666,2.27,634.3666666666667,11.333333333333334,40.666666666666664,0.0,3,pp2048 ub2048 t15,2048,2048,15,auto,A sync+g_acc,0,0
1264.78,1619.253941396923,321.0,404.23333333333335,32.06666666666667,172.16666666666666,2.27,619.8666666666667,11.0,36.0,0.0,3,pp2048 ub2048 t15,2048,2048,15,auto,B async+g_acc,0,1
1260.32,1624.9841310143456,321.0,400.2,32.63333333333333,0.0,0.0,707.8666666666667,11.0,36.0,30.0,3,pp2048 ub2048 t15,2048,2048,15,auto,C sync+direct,1,0
1272.76,1609.101480247651,321.0,401.6333333333334,31.5,0.0,0.0,704.0333333333333,11.0,35.666666666666664,30.0,3,pp2048 ub2048 t15,2048,2048,15,auto,D async+direct,1,1
815.11,2512.544319171646,321.0,372.3666666666666,32.699999999999996,153.16666666666666,2.27,547.6,9.666666666666666,35.666666666666664,0.0,3,pp2048 ub2048 t8,2048,2048,8,auto,A sync+g_acc,0,0
832.37,2460.4442735802586,321.0,373.0,31.96666666666667,155.53333333333333,2.27,558.3333333333334,10.0,32.0,0.0,3,pp2048 ub2048 t8,2048,2048,8,auto,B async+g_acc,0,1
810.27,2527.5525442136573,321.0,367.9666666666667,31.900000000000002,0.0,0.0,638.1,10.0,31.333333333333332,30.0,3,pp2048 ub2048 t8,2048,2048,8,auto,C sync+direct,1,0
834.78,2453.3410000239587,321.0,367.93333333333334,31.166666666666668,0.0,0.0,649.8333333333334,10.333333333333334,31.333333333333332,30.0,3,pp2048 ub2048 t8,2048,2048,8,auto,D async+direct,1,1
538.46,3803.4394383983954,642.0,748.3333333333334,57.86666666666667,281.56666666666666,4.543333333333334,625.6333333333333,18.666666666666668,74.0,0.0,3,pp2048 ub2048 t4,2048,2048,4,auto,A sync+g_acc,0,0
561.54,3647.1132955800126,642.0,749.1333333333333,58.800000000000004,296.1333333333333,4.543333333333334,628.4333333333333,18.333333333333332,66.33333333333333,0.0,3,pp2048 ub2048 t4,2048,2048,4,auto,B async+g_acc,0,1
582.03,3518.718966376304,642.0,730.8000000000001,54.199999999999996,0.0,0.0,685.6333333333333,18.666666666666668,60.666666666666664,60.0,3,pp2048 ub2048 t4,2048,2048,4,auto,C sync+direct,1,0
585.56,3497.5066602910038,642.0,734.8333333333334,54.800000000000004,0.0,0.0,685.8333333333334,18.333333333333332,60.333333333333336,60.0,3,pp2048 ub2048 t4,2048,2048,4,auto,D async+direct,1,1
925.99,2211.686951262973,642.0,745.9,54.800000000000004,308.40000000000003,4.543333333333334,1209.9333333333334,19.666666666666668,78.66666666666667,0.0,3,pp2048 allNPU t15,2048,2048,15,2,A sync+g_acc,0,0
1009.01,2029.7122922468561,642.0,737.3666666666667,54.06666666666666,311.1333333333333,4.543333333333334,1219.4666666666667,20.0,69.0,0.0,3,pp2048 allNPU t15,2048,2048,15,2,B async+g_acc,0,1
1085.87,1886.0452908727566,642.0,733.8000000000001,52.53333333333333,0.0,0.0,1302.6000000000001,20.333333333333332,64.0,60.0,3,pp2048 allNPU t15,2048,2048,15,2,C sync+direct,1,0
1081.91,1892.9485816750005,642.0,728.0,54.76666666666667,0.0,0.0,1304.2,20.0,63.333333333333336,60.0,3,pp2048 allNPU t15,2048,2048,15,2,D async+direct,1,1
969.71,4091.945014488868,642.0,810.1333333333333,63.9,336.90000000000003,4.543333333333334,1233.2666666666667,22.0,81.66666666666667,0.0,3,pp3968 ub2048 t15,3968,2048,15,auto,A sync+g_acc,0,0
998.56,3973.7221599102713,642.0,822.8333333333334,64.60000000000001,352.23333333333335,4.543333333333334,1266.7,22.333333333333332,74.0,0.0,3,pp3968 ub2048 t15,3968,2048,15,auto,B async+g_acc,0,1
1020.27,3889.1665931567136,642.0,812.8666666666667,64.23333333333333,0.0,0.0,1441.6666666666667,21.666666666666668,74.66666666666667,30.0,3,pp3968 ub2048 t15,3968,2048,15,auto,C sync+direct,1,0
1013.03,3916.9619853311356,642.0,801.1,64.3,0.0,0.0,1429.1333333333332,22.666666666666668,73.33333333333333,30.0,3,pp3968 ub2048 t15,3968,2048,15,auto,D async+direct,1,1
919.45,2227.4185654467346,642.0,750.8666666666667,58.26666666666667,331.43333333333334,4.543333333333334,1154.5666666666666,20.666666666666668,76.0,0.0,3,pp2048 ub1024 t15,2048,1024,15,auto,A sync+g_acc,0,0
1001.33,2045.279777895399,642.0,751.9666666666667,57.96666666666667,340.73333333333335,4.543333333333334,1160.3666666666666,20.333333333333332,66.0,0.0,3,pp2048 ub1024 t15,2048,1024,15,auto,B async+g_acc,0,1
1080.33,1895.7170494200848,642.0,741.4333333333334,58.13333333333333,0.0,0.0,1319.5333333333333,20.333333333333332,69.0,30.0,3,pp2048 ub1024 t15,2048,1024,15,auto,C sync+direct,1,0
1082.19,1892.4588103752576,642.0,744.0,58.46666666666667,0.0,0.0,1308.7333333333333,20.333333333333332,69.0,30.0,3,pp2048 ub1024 t15,2048,1024,15,auto,D async+direct,1,1
