wall_ns,acquisitions,immediate,waited,wait_ns,hold_ns,wait_max_ns,hold_max_ns,waiters_now,waiters_max
1788210807016184957,5952,5952,0,0,42486568549,0,170221111,0,0
1788210807502829267,5984,5984,0,0,42713277616,0,170221111,0,0
1788210807989576167,6016,6016,0,0,42930776413,0,170221111,0,0
1788210808554725912,6048,6048,0,0,43158462541,0,170221111,0,0
1788210809069812223,6080,6080,0,0,43377097592,0,170221111,0,0
1788210809566439767,6112,6112,0,0,43603900578,0,170221111,0,0
1788210810094045684,6144,6144,0,0,43825652098,0,170221111,0,0
1788210811702577918,6176,6176,0,0,44039705845,0,170221111,0,0
1788210812202515590,6208,6208,0,0,44277339491,0,170221111,0,0
1788210812708990985,6240,6240,0,0,44512068607,0,170221111,0,0
1788210813226411530,6272,6272,0,0,44734833914,0,170221111,0,0
1788210813715704189,6304,6304,0,0,44958666510,0,170221111,0,0
1788210814292642297,6336,6336,0,0,45194160611,0,170221111,0,0
1788210814795427219,6368,6368,0,0,45407679456,0,170221111,0,0
1788210815309812145,6400,6400,0,0,45649564475,0,170221111,0,0
1788210815807274115,6432,6432,0,0,45872093960,0,170221111,0,0
1788210816332860063,6464,6464,0,0,46093948836,0,170221111,0,0
1788210817949930320,6496,6496,0,0,46309293562,0,170221111,0,0
